date,open,high,low,close,adj-close,volume
1980-03-17,0.000000,0.828125,0.781250,0.781250,0.433072,48000
1980-03-18,0.000000,0.812500,0.765625,0.765625,0.424410,28800
1980-03-19,0.000000,0.828125,0.781250,0.781250,0.433072,22400
1980-03-20,0.000000,0.812500,0.765625,0.765625,0.424410,14400
1980-03-21,0.000000,0.812500,0.765625,0.765625,0.424410,17600
1980-03-24,0.000000,0.812500,0.765625,0.765625,0.424410,41600
1980-03-25,0.000000,0.796875,0.750000,0.750000,0.415748,16000
1980-03-26,0.000000,0.796875,0.750000,0.750000,0.415748,38400
1980-03-27,0.000000,0.734375,0.687500,0.687500,0.381103,65600
1980-03-28,0.000000,0.750000,0.703125,0.703125,0.389765,46400
1980-03-31,0.000000,0.781250,0.734375,0.734375,0.407087,22400
1980-04-01,0.000000,0.765625,0.718750,0.718750,0.398426,33600
1980-04-02,0.000000,0.765625,0.718750,0.718750,0.398426,16000
1980-04-03,0.000000,0.765625,0.718750,0.718750,0.398426,9600
1980-04-07,0.000000,0.765625,0.718750,0.718750,0.398426,11200
1980-04-08,0.000000,0.750000,0.703125,0.703125,0.389765,72000
1980-04-09,0.000000,0.781250,0.734375,0.734375,0.407087,27200
1980-04-10,0.000000,0.828125,0.781250,0.781250,0.433072,115200
1980-04-11,0.000000,0.843750,0.796875,0.796875,0.441733,83200
1980-04-14,0.000000,0.828125,0.781250,0.781250,0.433072,38400
1980-04-15,0.000000,0.812500,0.765625,0.765625,0.424410,94400
1980-04-16,0.000000,0.812500,0.765625,0.765625,0.424410,51200
1980-04-17,0.000000,0.812500,0.765625,0.765625,0.424410,46400
1980-04-18,0.000000,0.812500,0.765625,0.765625,0.424410,64000
1980-04-21,0.000000,0.812500,0.765625,0.765625,0.424410,36800
1980-04-22,0.000000,0.828125,0.781250,0.781250,0.433072,12800
1980-04-23,0.000000,0.812500,0.765625,0.765625,0.424410,20800
1980-04-24,0.000000,0.812500,0.765625,0.765625,0.424410,3200
1980-04-25,0.000000,0.796875,0.750000,0.750000,0.415748,62400
1980-04-28,0.000000,0.828125,0.781250,0.781250,0.433072,27200
1980-04-29,0.000000,0.812500,0.765625,0.765625,0.424410,60800
